laptop id,company,product,typename,inches,ScreenResolution,Cpu,Ram,Gpu,OpSys,Weight,Price_euros
L0510,Huawei,MateBook 14 7,Gaming,14,3840x2160 Touchscreen 4K UHD,Core Ultra 7 155H,32GB,AMD Radeon 780M,Windows 11 Pro,1.4,1738.49
L0511,Gigabyte,G5 G16,Gaming,14.5,2560x1440 IPS Quad HD,Ryzen 5 7640U,32GB,Apple M3 10‑core GPU,Windows 11 Pro,1.37,1252.33
L0512,Samsung,Galaxy Book Pro X1,Chromebook,15,3000x2000 IPS Touchscreen 3K,Ryzen 9 7940HS,24GB,NVIDIA GeForce RTX 4050,Windows 11,2.12,1894.47
L0513,Apple,MacBook Air 13,2 in 1 Convertible,16,3840x2160 IPS Touchscreen 4K UHD,Apple M3,8GB,Apple M3 10‑core GPU,macOS,1.76,1260.25
L0514,Samsung,Galaxy Book Pro,Notebook,14,2560x1440 IPS Touchscreen Quad HD,Ryzen 9 7940HS,32GB,NVIDIA GeForce RTX 4070,Windows 11,1.73,2430.93
L0515,Acer,Swift 13,Business,16,3840x2160 Touchscreen 4K UHD,Ryzen 5 7640U,32GB,AMD Radeon 760M,Windows 11 Pro,1.75,1387.89
L0516,Apple,MacBook Pro Plus,Netbook,17,1920x1080 Touchscreen Full HD,Apple M3 Max,32GB,Apple M3 10‑core GPU,macOS,2.12,2460.95
L0517,LG,Ultra PC 7,Business,13.3,2560x1440 Touchscreen Quad HD,Core i7-13700H,24GB,NVIDIA GeForce RTX 4080 Laptop GPU,Windows 11 Pro,1.89,2862.98
L0518,Samsung,Galaxy Book 16,Business,16,3840x2160 IPS Touchscreen 4K UHD,Ryzen 9 7940HS,16GB,NVIDIA GeForce RTX 4060,Windows 11,2.19,1935.93
L0519,Razer,Blade Stealth 13,Business,16.1,2560x1600 IPS WQXGA (HD quality),Core i9-13900H,8GB,AMD Radeon 780M,Ubuntu 24.04,1.94,1922.71
L0520,Toshiba,Dynabook Tecra 13,Netbook,16,1920x1080 IPS Touchscreen Full HD,Core Ultra 7 155H,48GB,NVIDIA GeForce RTX 4060,ChromeOS,2.37,2650.11
L0521,Microsoft,Surface Laptop Studio 14,Notebook,13.3,2880x1800 Touchscreen 2.8K,Core Ultra 7 155H,48GB,NVIDIA GeForce RTX 3050,Ubuntu 22.04,1.59,2415.35
L0522,Lenovo,IdeaPad Slim 14,Workstation,16.1,3840x2160 IPS Touchscreen 4K UHD,Ryzen 5 7640U,16GB,AMD Radeon 780M,Windows 11,1.82,1086.25
L0523,MSI,Prestige 15,Chromebook,15.6,2560x1600 IPS Touchscreen WQXGA (HD quality),Core Ultra 7 155H,24GB,NVIDIA GeForce RTX 4070,Windows 11,1.96,2374.82
L0524,Lenovo,ThinkPad T X1,Business,16,2880x1800 IPS Touchscreen 2.8K,Ryzen 5 7640U,32GB,Intel Iris Xe,Ubuntu 22.04,1.72,1420.92
L0525,Gigabyte,AORUS X1,Ultrabook,16,3840x2160 IPS 4K UHD,Core Ultra 5 125H,64GB,Apple M3 10‑core GPU,ChromeOS,1.78,2285.15
L0526,Huawei,MateBook 14 16,Netbook,15.6,1920x1080 Touchscreen Full HD,Core i5-13500H,32GB,NVIDIA GeForce RTX 4080 Laptop GPU,Windows 11 Pro,2.21,2681.6
L0527,MSI,Modern 16,Notebook,13.3,3000x2000 Touchscreen 3K,Ryzen 7 7840U,48GB,Apple M3 10‑core GPU,Windows 11,1.25,1740.59
L0528,Acer,Aspire,Ultrabook,17,3000x2000 Touchscreen 3K,Core i5-1340P,64GB,AMD Radeon 760M,ChromeOS,2.12,2177.79
L0529,Acer,Predator Helios Pro,Netbook,13.6,1920x1080 IPS Touchscreen Full HD,Core i7-13700H,24GB,NVIDIA GeForce RTX 3050,Windows 11,1.91,1843.53
L0530,Avita,Liber V G16,Workstation,15,3200x2000 IPS Touchscreen 3.2K,Core i5-13500H,48GB,Intel Arc iGPU,Windows 11,1.61,1846.96
L0531,Dell,Inspiron X1,Business,13.6,1920x1080 IPS Full HD,Ryzen 7 7840U,32GB,Intel Iris Xe,Windows 11 Pro,1.33,1582.36
L0532,Microsoft,Surface Pro X1,Workstation,16.1,3200x2000 Touchscreen 3.2K,Ryzen 9 7940HS,64GB,Intel Iris Xe,Windows 11,1.9,2679.5
L0533,Huawei,MateBook 14 Pro,Notebook,14.5,2880x1800 Touchscreen 2.8K,Core Ultra 7 165H,48GB,NVIDIA GeForce RTX 3050,Windows 11 Pro,1.67,2287.65
L0534,Microsoft,Surface Laptop 13,Netbook,15,2560x1600 Touchscreen WQXGA (HD quality),Ryzen 9 7940HS,8GB,Intel Iris Xe,Ubuntu 24.04,1.46,1566.25
L0535,Avita,Pura 15,Gaming,16.1,1920x1080 IPS Full HD,Ryzen 5 7640U,8GB,AMD Radeon 760M,Windows 11 Pro,1.91,1017.04
L0536,Gigabyte,G6 7,Gaming,14,3000x2000 IPS Touchscreen 3K,Ryzen 9 7940HS,64GB,NVIDIA GeForce RTX 4060,Windows 11 Pro,1.78,2764.07
L0537,Apple,MacBook Pro 16,Notebook,14,3200x2000 IPS 3.2K,Apple M3 Pro,48GB,Apple M3 10‑core GPU,macOS,1.38,2233.71
L0538,Dell,Inspiron Plus,Ultrabook,17,2560x1440 Touchscreen Quad HD,Core Ultra 7 155H,64GB,Intel Iris Xe,ChromeOS,2.15,2646.75
L0539,Toshiba,Dynabook Portege 13,Netbook,16,3000x2000 IPS 3K,Ryzen 5 7640U,24GB,AMD Radeon 760M,Windows 11,1.87,1261.26
L0540,ASUS,Zenbook 13,Notebook,17,2560x1440 Touchscreen Quad HD,Core Ultra 7 165H,24GB,Intel Iris Xe,Windows 11 Pro,2.24,1677.66
L0541,Acer,Aspire,Ultrabook,15,2880x1800 IPS 2.8K,Ryzen 7 7840U,32GB,AMD Radeon 780M,Windows 11,1.46,1511.15
L0542,Razer,Blade 7,Business,13.6,2560x1600 IPS WQXGA (HD quality),Ryzen 9 7940HS,48GB,NVIDIA GeForce RTX 4070,Windows 11,1.76,2922.03
L0543,Razer,Blade 15,Gaming,15,3000x2000 Touchscreen 3K,Ryzen 5 7640U,64GB,Apple M3 10‑core GPU,Windows 11,1.52,2248.09
L0544,Gigabyte,AORUS Pro,Business,17,2880x1800 IPS 2.8K,Core i7-13700H,48GB,NVIDIA GeForce RTX 4050,Windows 11 Pro,2.46,2488.4
L0545,Acer,Aspire Plus,Workstation,13.3,2560x1440 IPS Touchscreen Quad HD,Core i5-1340P,8GB,AMD Radeon 760M,Windows 11,1.3,1029.85
L0546,Avita,Pura 15,Netbook,15.6,3200x2000 Touchscreen 3.2K,Ryzen 7 8840U,16GB,AMD Radeon 780M,Windows 11 Pro,1.74,1202.7
L0547,Avita,Liber V,Chromebook,13.3,1920x1080 IPS Touchscreen Full HD,Core i5-13500H,48GB,AMD Radeon 760M,Ubuntu 22.04,1.31,1784.38
L0548,Dell,Alienware m16,Chromebook,13.6,2560x1600 Touchscreen WQXGA (HD quality),Ryzen 9 7940HS,16GB,Intel Arc iGPU,Windows 11 Pro,1.38,1567.8
L0549,Lenovo,ThinkPad X 16,Netbook,14.5,1920x1080 IPS Touchscreen Full HD,Ryzen 7 7840U,16GB,AMD Radeon 760M,ChromeOS,1.36,1124.07
L0550,Huawei,MateBook 14 Plus,2 in 1 Convertible,13.3,2560x1440 IPS Touchscreen Quad HD,Ryzen 5 7640U,24GB,Apple M3 10‑core GPU,Windows 11,1.26,1155.78
L0551,Razer,Blade 13,Gaming,13.6,2560x1440 Touchscreen Quad HD,Core i9-13900H,64GB,Intel Iris Xe,Ubuntu 22.04,1.39,2960.09
L0552,Microsoft,Surface Pro 16,Chromebook,13.3,2880x1800 IPS Touchscreen 2.8K,Core i7-1360P,32GB,AMD Radeon 760M,Windows 11 Pro,1.25,1897.24
L0553,Apple,MacBook Air 15,Business,17,2880x1800 Touchscreen 2.8K,Apple M2,32GB,Apple M2 10‑core GPU,macOS,2.14,1690.64
L0554,Razer,Blade 15,Business,13.6,2560x1440 IPS Quad HD,Core i7-1360P,24GB,Intel Arc iGPU,Windows 11,1.2,1726.15
L0555,Apple,MacBook Pro 16,2 in 1 Convertible,13.6,2880x1800 IPS 2.8K,Apple M3 Pro,8GB,Apple M3 10‑core GPU,macOS,1.35,1417.56
L0556,Lenovo,ThinkPad X Plus,Chromebook,13.6,3200x2000 Touchscreen 3.2K,Core Ultra 7 155H,8GB,AMD Radeon 760M,Windows 11,1.35,1208.06
L0557,Gigabyte,G6,Workstation,16,1920x1080 IPS Full HD,Core i9-13900H,8GB,NVIDIA GeForce RTX 4070,Windows 11 Pro,2.11,2535.76
L0558,Apple,MacBook Pro X1,Chromebook,16,3000x2000 IPS Touchscreen 3K,Apple M2,24GB,Apple M2 10‑core GPU,macOS,1.83,1607.85
L0559,Apple,MacBook Pro Pro,Netbook,14.5,1920x1080 IPS Full HD,Apple M2,48GB,Apple M2 10‑core GPU,macOS,1.49,1927.08
L0560,Toshiba,Dynabook Tecra Plus,Gaming,17,2560x1600 Touchscreen WQXGA (HD quality),Ryzen 9 7940HS,64GB,NVIDIA GeForce RTX 4050,Windows 11,2.39,2776.66
L0561,LG,Ultra PC 16,Gaming,14,2880x1800 Touchscreen 2.8K,Ryzen 7 8840U,24GB,Intel Arc iGPU,Windows 11,1.26,1435.92
L0562,Toshiba,Dynabook Tecra X1,Netbook,14.5,2560x1440 IPS Touchscreen Quad HD,Core Ultra 7 155H,24GB,NVIDIA GeForce RTX 4070,Windows 11 Pro,1.86,2295.19
L0563,Acer,TravelMate 16,Business,15.6,2560x1440 IPS Quad HD,Ryzen 5 7640U,32GB,Intel Iris Xe,ChromeOS,1.68,1420.12
L0564,Samsung,Galaxy Book3 15,2 in 1 Convertible,16.1,3200x2000 Touchscreen 3.2K,Ryzen 7 7840U,32GB,Intel Iris Xe,Ubuntu 22.04,1.87,1539.59
L0565,Apple,MacBook Air 15,Chromebook,14.5,3200x2000 IPS Touchscreen 3.2K,Apple M3 Pro,8GB,Apple M3 10‑core GPU,macOS,1.55,1375.89
L0566,ASUS,VivoBook 15,Workstation,14,2560x1600 IPS Touchscreen WQXGA (HD quality),Core Ultra 7 165H,16GB,NVIDIA GeForce RTX 4060,ChromeOS,1.59,1809.26
L0567,Gigabyte,AERO G16,2 in 1 Convertible,15,2880x1800 IPS 2.8K,Ryzen 7 8840U,64GB,Intel Iris Xe,ChromeOS,1.65,2249.7
L0568,Avita,Pura 13,Notebook,14,2560x1440 IPS Quad HD,Core i9-13900H,32GB,NVIDIA GeForce RTX 4060,Windows 11,1.97,2556.35
L0569,Toshiba,Dynabook Portege 14,Netbook,14.5,1920x1080 IPS Touchscreen Full HD,Ryzen 7 7840U,48GB,Apple M3 10‑core GPU,Ubuntu 22.04,1.5,1802.01
L0570,Gigabyte,AERO 14,Business,17,2560x1600 Touchscreen WQXGA (HD quality),Ryzen 7 7840U,24GB,AMD Radeon 780M,Windows 11 Pro,2.24,1434.32
L0571,ASUS,ExpertBook X1,Ultrabook,14.5,2560x1440 IPS Quad HD,Ryzen 7 7840U,32GB,Intel Iris Xe,Windows 11 Pro,1.46,1501.61
L0572,Acer,Predator Helios Pro,Notebook,14,3840x2160 IPS 4K UHD,Ryzen 9 7940HS,48GB,NVIDIA GeForce RTX 4080 Laptop GPU,Windows 11 Pro,1.71,3153.16
L0573,Gigabyte,G6 G16,Workstation,16,1920x1080 IPS Full HD,Ryzen 7 7840U,24GB,Intel Arc iGPU,Windows 11,1.76,1435.23
L0574,Microsoft,Surface Pro 13,Workstation,14.5,1920x1080 IPS Full HD,Core i7-1360P,8GB,Apple M3 10‑core GPU,Windows 11,1.49,1382.5
L0575,Huawei,MateBook 14 16,2 in 1 Convertible,14,3840x2160 IPS Touchscreen 4K UHD,Ryzen 5 7640U,24GB,AMD Radeon 780M,Ubuntu 24.04,1.44,1176.84
L0576,Gigabyte,AERO 7,Gaming,16,2560x1440 IPS Quad HD,Core i7-13700H,16GB,NVIDIA GeForce RTX 4080 Laptop GPU,Ubuntu 24.04,2.05,2719.95
L0577,MSI,Katana 15,Chromebook,16.1,3840x2160 IPS Touchscreen 4K UHD,Core i7-1360P,16GB,Apple M3 10‑core GPU,Ubuntu 24.04,1.99,1511.26
L0578,Gigabyte,G5 G16,2 in 1 Convertible,16,2880x1800 IPS Touchscreen 2.8K,Ryzen 7 7735HS,24GB,NVIDIA GeForce RTX 3050,Windows 11,2.3,1743.84
L0579,Acer,TravelMate Plus,Business,16,2560x1440 Touchscreen Quad HD,Core i9-13900H,32GB,NVIDIA GeForce RTX 3050,Windows 11 Pro,2.22,2502.29
L0580,LG,Gram,Chromebook,13.3,2560x1440 IPS Quad HD,Core i5-13500H,24GB,NVIDIA GeForce RTX 4060,Windows 11,1.61,1771.44
L0581,Acer,Nitro X1,Gaming,13.6,2560x1440 IPS Touchscreen Quad HD,Ryzen 9 7940HS,64GB,NVIDIA GeForce RTX 4050,Windows 11,1.68,2656.42
L0582,HP,EliteBook Plus,Workstation,14.5,3000x2000 IPS Touchscreen 3K,Ryzen 7 8840U,16GB,Intel Arc iGPU,ChromeOS,1.44,1167.2
L0583,Razer,Blade Pro,Netbook,16.1,2880x1800 Touchscreen 2.8K,Core Ultra 7 155H,24GB,NVIDIA GeForce RTX 4070,Windows 11 Pro,2.32,2630.48
L0584,MSI,Modern 14,Business,16.1,2880x1800 IPS Touchscreen 2.8K,Core Ultra 7 155H,32GB,NVIDIA GeForce RTX 3050,Windows 11,2.24,2117.95
L0585,Avita,Liber V 15,Chromebook,16,3840x2160 IPS Touchscreen 4K UHD,Core i7-1360P,8GB,Intel Arc iGPU,Windows 11 Pro,1.78,1371.43
L0586,Lenovo,Legion,Chromebook,13.3,1920x1080 IPS Touchscreen Full HD,Ryzen 9 7940HS,24GB,Intel Iris Xe,Windows 11,1.2,1612.18
L0587,HP,Pavilion 7,Chromebook,16.1,1920x1080 IPS Full HD,Core i7-13700H,16GB,NVIDIA GeForce RTX 4060,Ubuntu 22.04,2.46,1933.04
L0588,Dell,Alienware m X1,Gaming,13.6,3200x2000 IPS 3.2K,Ryzen 7 7840U,32GB,AMD Radeon 780M,Windows 11,1.37,1599.2
L0589,Samsung,Galaxy Book3,Notebook,16,3200x2000 Touchscreen 3.2K,Ryzen 5 7640U,48GB,Intel Arc iGPU,Windows 11 Pro,1.85,1820.75
L0590,Acer,Aspire 15,Notebook,13.3,2880x1800 IPS 2.8K,Core i7-1360P,16GB,Intel Arc iGPU,Windows 11,1.31,1467.96
L0591,HP,Envy,Business,17,1920x1080 Touchscreen Full HD,Ryzen 7 7735HS,64GB,NVIDIA GeForce RTX 4050,ChromeOS,2.54,2450.21
L0592,Dell,Latitude G16,Gaming,13.3,2880x1800 IPS Touchscreen 2.8K,Ryzen 5 7640U,32GB,Intel Iris Xe,Windows 11,1.28,1416.2
L0593,Razer,Blade Stealth,Notebook,14.5,2880x1800 Touchscreen 2.8K,Ryzen 5 7640U,64GB,Apple M3 10‑core GPU,Ubuntu 22.04,1.4,2032.32
L0594,Acer,Nitro 14,Netbook,14,3200x2000 IPS Touchscreen 3.2K,Ryzen 9 7940HS,8GB,NVIDIA GeForce RTX 4080 Laptop GPU,ChromeOS,1.73,2396.44
L0595,Microsoft,Surface Pro,2 in 1 Convertible,13.3,3000x2000 IPS 3K,Ryzen 7 7840U,64GB,AMD Radeon 760M,Ubuntu 22.04,1.16,2218.69
L0596,ASUS,VivoBook 14,Business,14.5,3200x2000 IPS 3.2K,Core i7-13700H,64GB,Intel Iris Xe,Windows 11,1.45,2447.08
L0597,LG,Ultra PC,2 in 1 Convertible,15.6,2560x1600 IPS WQXGA (HD quality),Core i9-13900H,8GB,Intel Iris Xe,Ubuntu 22.04,1.67,1899.59
L0598,Acer,Aspire 7,Ultrabook,13.6,3840x2160 Touchscreen 4K UHD,Core Ultra 9 185H,8GB,NVIDIA GeForce RTX 4050,ChromeOS,1.47,1921.35
L0599,Gigabyte,AORUS 15,Notebook,16,3200x2000 Touchscreen 3.2K,Ryzen 7 7840U,64GB,Intel Iris Xe,Windows 11,1.82,2209.4
L0600,Razer,Blade Stealth 15,Workstation,16.1,1920x1080 Touchscreen Full HD,Ryzen 9 7940HS,16GB,NVIDIA GeForce RTX 4070,Windows 11 Pro,2.47,2463.16
L0601,Apple,MacBook Pro X1,Notebook,15,3000x2000 IPS Touchscreen 3K,Apple M3,48GB,Apple M3 10‑core GPU,macOS,1.6,1983.45
L0602,Samsung,Galaxy Book Pro 7,Workstation,16,3000x2000 IPS Touchscreen 3K,Ryzen 5 7640U,24GB,Intel Iris Xe,Windows 11,1.73,1244.65
L0603,Apple,MacBook Pro 7,Business,16,2880x1800 IPS Touchscreen 2.8K,Apple M3 Pro,32GB,Apple M3 10‑core GPU,macOS,1.8,2063.34
L0604,Razer,Blade X1,Ultrabook,13.6,2880x1800 IPS Touchscreen 2.8K,Core Ultra 9 185H,32GB,AMD Radeon 780M,Windows 11 Pro,1.32,2277.86
L0605,Apple,MacBook Pro X1,2 in 1 Convertible,14.5,2880x1800 IPS 2.8K,Apple M3 Pro,64GB,Apple M3 10‑core GPU,macOS,1.49,2473.67
L0606,LG,Gram 16,Chromebook,14,2560x1600 IPS WQXGA (HD quality),Core Ultra 5 125H,8GB,AMD Radeon 760M,Windows 11,1.35,1074.55
L0607,MSI,Modern X1,Workstation,15,3000x2000 IPS Touchscreen 3K,Ryzen 7 7735HS,24GB,Intel Arc iGPU,Windows 11 Pro,1.61,1354.97
L0608,Lenovo,Yoga 16,Ultrabook,14,3840x2160 Touchscreen 4K UHD,Core Ultra 7 155H,8GB,AMD Radeon 760M,Windows 11 Pro,1.4,1222.18
L0609,Acer,Aspire 14,2 in 1 Convertible,16.1,2560x1440 IPS Touchscreen Quad HD,Core i7-13700H,48GB,Intel Iris Xe,Windows 11,1.96,2174.95
L0610,Avita,Pura 7,Notebook,14,1920x1080 Touchscreen Full HD,Core i5-13500H,8GB,NVIDIA GeForce RTX 4060,Windows 11,1.78,1313.11
L0611,Apple,MacBook Pro,Ultrabook,13.6,2560x1440 IPS Touchscreen Quad HD,Apple M2,32GB,Apple M2 10‑core GPU,macOS,1.31,1658.3
L0612,Gigabyte,G5 7,Chromebook,15.6,3000x2000 Touchscreen 3K,Ryzen 7 8840U,64GB,AMD Radeon 780M,ChromeOS,1.71,2242.33
L0613,LG,Ultra PC X1,Ultrabook,15.6,3840x2160 Touchscreen 4K UHD,Core Ultra 5 125H,32GB,AMD Radeon 760M,Windows 11,1.56,1645.98
L0614,Microsoft,Surface Laptop Studio 15,Netbook,16.1,3000x2000 IPS Touchscreen 3K,Ryzen 7 7735HS,32GB,NVIDIA GeForce RTX 3050,ChromeOS,2.55,1932.16
L0615,Acer,Swift G16,Chromebook,14.5,3000x2000 Touchscreen 3K,Ryzen 7 7735HS,8GB,NVIDIA GeForce RTX 4070,ChromeOS,2.07,1695.46
L0616,ASUS,ExpertBook 15,Gaming,17,3000x2000 IPS Touchscreen 3K,Core Ultra 7 165H,32GB,AMD Radeon 780M,Ubuntu 24.04,2.13,1888.02
L0617,Dell,Vostro Pro,2 in 1 Convertible,14.5,2560x1440 IPS Quad HD,Core Ultra 7 155H,32GB,Intel Arc iGPU,Windows 11 Pro,1.53,1929.62
L0618,Lenovo,IdeaPad Slim 7,Notebook,14,3000x2000 IPS Touchscreen 3K,Ryzen 5 7640U,64GB,AMD Radeon 780M,Ubuntu 22.04,1.38,1919.01
L0619,Huawei,MateBook 14 X1,Business,14.5,2560x1440 Touchscreen Quad HD,Core i5-1340P,8GB,Intel Arc iGPU,Windows 11,1.5,915.09
L0620,Acer,Aspire G16,Business,13.3,2560x1600 IPS WQXGA (HD quality),Core i5-13500H,32GB,NVIDIA GeForce RTX 4060,Ubuntu 22.04,1.68,1808.88
L0621,MSI,Prestige Pro,Chromebook,15.6,2560x1440 Touchscreen Quad HD,Core i7-13700H,64GB,NVIDIA GeForce RTX 4080 Laptop GPU,Windows 11,2.05,3648.74
L0622,Dell,Latitude Plus,Chromebook,14.5,2880x1800 Touchscreen 2.8K,Ryzen 5 7640U,24GB,Intel Iris Xe,Ubuntu 22.04,1.52,1341.48
L0623,Lenovo,ThinkPad X 14,Chromebook,16,2560x1600 IPS Touchscreen WQXGA (HD quality),Core Ultra 5 125H,48GB,NVIDIA GeForce RTX 4070,Windows 11 Pro,2.28,2618.62
L0624,ASUS,ROG Zephyrus 15,Business,13.6,2560x1440 Touchscreen Quad HD,Core i5-1340P,32GB,Intel Iris Xe,Windows 11 Pro,1.33,1417.84
L0625,HP,Envy 15,2 in 1 Convertible,13.3,2560x1600 IPS Touchscreen WQXGA (HD quality),Core Ultra 7 165H,32GB,AMD Radeon 760M,Windows 11,1.34,1692.49
L0626,Samsung,Galaxy Book,Notebook,17,3200x2000 Touchscreen 3.2K,Ryzen 7 7840U,64GB,AMD Radeon 760M,Windows 11,2.15,2233.52
L0627,Huawei,MateBook 14 14,Business,13.6,3840x2160 Touchscreen 4K UHD,Ryzen 7 8840U,64GB,AMD Radeon 760M,Windows 11,1.21,2035.87
L0628,LG,Gram,Chromebook,15,3200x2000 IPS Touchscreen 3.2K,Core Ultra 7 165H,32GB,NVIDIA GeForce RTX 4070,Windows 11,1.7,2748.15
L0629,Gigabyte,AORUS X1,Ultrabook,16,3000x2000 IPS Touchscreen 3K,Ryzen 5 7640U,48GB,Apple M3 10‑core GPU,Windows 11,1.85,1726.97
L0630,LG,Gram 14,Gaming,13.3,3000x2000 Touchscreen 3K,Ryzen 5 7640U,8GB,Intel Iris Xe,Windows 11,1.17,933.38
L0631,Gigabyte,AERO 13,Notebook,17,2560x1600 Touchscreen WQXGA (HD quality),Core i5-13500H,64GB,NVIDIA GeForce RTX 4060,Windows 11 Pro,2.65,2645.02
L0632,Huawei,MateBook X Pro,Netbook,17,3000x2000 IPS 3K,Core Ultra 5 125H,16GB,NVIDIA GeForce RTX 4050,Windows 11,2.8,1488.09
L0633,Acer,Predator Helios 14,Business,13.6,3000x2000 Touchscreen 3K,Ryzen 9 7940HS,64GB,AMD Radeon 760M,Windows 11 Pro,1.33,2442.23
L0634,HP,EliteBook 15,Notebook,15,3200x2000 IPS Touchscreen 3.2K,Core i7-1360P,48GB,Apple M3 10‑core GPU,Windows 11 Pro,1.61,2141.13
L0635,Gigabyte,G6 X1,Ultrabook,14.5,1920x1080 Touchscreen Full HD,Core i9-13900H,8GB,NVIDIA GeForce RTX 4070,Windows 11,1.76,2335.52
L0636,Toshiba,Dynabook Tecra 16,Ultrabook,13.6,2880x1800 IPS 2.8K,Ryzen 5 7640U,8GB,Intel Iris Xe,Windows 11 Pro,1.31,854.88
L0637,Dell,Alienware m G16,Workstation,17,2560x1600 IPS Touchscreen WQXGA (HD quality),Core Ultra 5 125H,16GB,NVIDIA GeForce RTX 4070,Windows 11 Pro,2.52,2061.23
L0638,Microsoft,Surface Pro 14,Gaming,14,2880x1800 IPS Touchscreen 2.8K,Ryzen 5 7640U,64GB,AMD Radeon 780M,Windows 11,1.39,2074.37
L0639,Samsung,Galaxy Book 7,Netbook,16.1,3000x2000 Touchscreen 3K,Ryzen 9 7940HS,48GB,Intel Iris Xe,Windows 11,1.99,2202.85
L0640,Acer,Swift 13,Notebook,14.5,1920x1080 IPS Full HD,Core Ultra 7 155H,64GB,NVIDIA GeForce RTX 4070,Ubuntu 22.04,2.02,3086.13
L0641,Huawei,MateBook D 7,Chromebook,17,3200x2000 IPS Touchscreen 3.2K,Core i5-13500H,8GB,NVIDIA GeForce RTX 3050,Windows 11 Pro,2.55,1423.61
L0642,Toshiba,Dynabook Tecra Plus,Chromebook,14,3200x2000 IPS Touchscreen 3.2K,Core Ultra 7 165H,8GB,NVIDIA GeForce RTX 4050,Windows 11,1.69,1498.53
L0643,Dell,Latitude 15,Notebook,15,2560x1600 Touchscreen WQXGA (HD quality),Ryzen 7 8840U,16GB,Intel Arc iGPU,Windows 11 Pro,1.49,1349.63
L0644,Avita,Liber V 7,Chromebook,13.3,2560x1600 IPS WQXGA (HD quality),Ryzen 7 8840U,24GB,AMD Radeon 780M,Windows 11 Pro,1.33,1244.2
L0645,Acer,Swift 13,Business,16.1,2560x1440 IPS Quad HD,Core i5-13500H,8GB,Intel Arc iGPU,Windows 11 Pro,1.85,1101.4
L0646,ASUS,ROG Zephyrus X1,Gaming,17,3840x2160 Touchscreen 4K UHD,Core i7-13700H,64GB,Intel Iris Xe,Windows 11 Pro,2.1,2584.86
L0647,Huawei,MateBook D 13,2 in 1 Convertible,15,1920x1080 IPS Full HD,Ryzen 9 7940HS,64GB,NVIDIA GeForce RTX 3050,Windows 11,2.22,2797.78
L0648,Dell,Vostro 7,Chromebook,14,2560x1600 Touchscreen WQXGA (HD quality),Ryzen 7 7840U,8GB,Intel Arc iGPU,Ubuntu 22.04,1.28,1115
L0649,Gigabyte,AORUS,Netbook,16,3000x2000 IPS Touchscreen 3K,Core i5-13500H,32GB,NVIDIA GeForce RTX 4070,Windows 11 Pro,2.03,2296.46
L0650,Lenovo,IdeaPad Slim 13,Workstation,14.5,3200x2000 Touchscreen 3.2K,Core i7-13700H,64GB,Intel Arc iGPU,Windows 11,1.39,2431.13
L0651,LG,Gram 15,Notebook,14,2880x1800 IPS 2.8K,Ryzen 7 7840U,16GB,AMD Radeon 760M,Windows 11,1.27,1216.62
L0652,MSI,Pulse 16,2 in 1 Convertible,14.5,2560x1600 Touchscreen WQXGA (HD quality),Ryzen 5 7640U,48GB,AMD Radeon 760M,Windows 11 Pro,1.37,1597.26
L0653,Acer,Nitro 15,Netbook,13.3,2560x1440 IPS Quad HD,Core Ultra 5 125H,64GB,Intel Iris Xe,Windows 11 Pro,1.33,2033.1
L0654,HP,Pavilion 7,Netbook,15.6,2560x1600 IPS WQXGA (HD quality),Core Ultra 5 125H,64GB,NVIDIA GeForce RTX 4050,Windows 11 Pro,2.16,2448.61
L0655,Lenovo,IdeaPad Slim 15,Business,13.6,1920x1080 IPS Full HD,Core Ultra 5 125H,48GB,Intel Iris Xe,Windows 11 Pro,1.38,1709.73
L0656,Microsoft,Surface Pro G16,Workstation,16.1,3840x2160 IPS 4K UHD,Core Ultra 5 125H,16GB,NVIDIA GeForce RTX 4080 Laptop GPU,Windows 11 Pro,2.45,2553.25
L0657,Avita,Pura 13,Chromebook,16,3000x2000 IPS Touchscreen 3K,Core Ultra 7 165H,48GB,NVIDIA GeForce RTX 4050,Windows 11,2.36,2496.29
L0658,MSI,Katana Pro,Notebook,14,2880x1800 IPS Touchscreen 2.8K,Ryzen 7 7735HS,32GB,NVIDIA GeForce RTX 4060,Windows 11,1.56,1870.57
L0659,Avita,Pura Pro,Workstation,15,3840x2160 IPS 4K UHD,Ryzen 7 8840U,48GB,Intel Arc iGPU,Windows 11,1.56,1837.94
L0660,LG,Gram 16,Gaming,15,3840x2160 IPS 4K UHD,Core Ultra 9 185H,48GB,NVIDIA GeForce RTX 4060,Windows 11 Pro,1.97,3164.92
L0661,ASUS,VivoBook X1,Workstation,15.6,1920x1080 IPS Touchscreen Full HD,Core i7-1360P,16GB,AMD Radeon 780M,Windows 11,1.66,1587.24
L0662,Gigabyte,AERO X1,Workstation,17,2560x1440 Touchscreen Quad HD,Core i7-1360P,24GB,Intel Iris Xe,Windows 11 Pro,2.13,1700.12
L0663,Huawei,MateBook X G16,Gaming,16.1,1920x1080 Touchscreen Full HD,Core i7-13700H,16GB,Intel Iris Xe,Windows 11 Pro,1.99,1533.45
L0664,ASUS,Zenbook 16,Gaming,14,3840x2160 Touchscreen 4K UHD,Core Ultra 7 155H,16GB,NVIDIA GeForce RTX 4050,Windows 11 Pro,1.6,1704.48
